name,ingredients,steps,cost,dietary,prep_time
Chicken & Couscous Fusion Bowl 1,"couscous, chicken, zucchini, broccoli, turmeric, avocado","1. Cook the couscous until tender. 2. Sauté the chicken with turmeric. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",250.75,low-carb,12
Seitan & Couscous Fusion Bowl 2,"couscous, seitan, broccoli, mushrooms, chili powder, lemon","1. Cook the couscous until tender. 2. Sauté the seitan with chili powder. 3. Add chopped broccoli and mushrooms, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",351.05,high-protein,17
Tempeh & Barley Fusion Bowl 3,"barley, tempeh, spinach, tomatoes, curry powder, cheese","1. Cook the barley until tender. 2. Sauté the tempeh with curry powder. 3. Add chopped spinach and tomatoes, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",378.25,vegetarian,24
Tuna & Couscous Fusion Bowl 4,"couscous, tuna, carrots, spinach, vinegar, maple syrup","1. Cook the couscous until tender. 2. Sauté the tuna with vinegar. 3. Add chopped carrots and spinach, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",198.9,gluten-free,12
Tuna & Barley Fusion Bowl 5,"barley, tuna, carrots, onions, vinegar, seeds","1. Cook the barley until tender. 2. Sauté the tuna with vinegar. 3. Add chopped carrots and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",208.25,non-vegetarian,23
Tuna & Quinoa Fusion Bowl 6,"quinoa, tuna, spinach, carrots, curry powder, honey","1. Cook the quinoa until tender. 2. Sauté the tuna with curry powder. 3. Add chopped spinach and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",259.25,high-protein,14
Eggs & Couscous Fusion Bowl 7,"couscous, eggs, onions, carrots, mustard, lemon","1. Cook the couscous until tender. 2. Sauté the eggs with mustard. 3. Add chopped onions and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",388.45,low-carb,24
Eggs & Barley Fusion Bowl 8,"barley, eggs, zucchini, tomatoes, turmeric, nuts","1. Cook the barley until tender. 2. Sauté the eggs with turmeric. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",189.55,vegan,23
Beef & Quinoa Fusion Bowl 9,"quinoa, beef, tomatoes, spinach, sriracha, lime","1. Cook the quinoa until tender. 2. Sauté the beef with sriracha. 3. Add chopped tomatoes and spinach, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",337.45,gluten-free,25
Chicken & Bulgur Fusion Bowl 10,"bulgur, chicken, kale, spinach, chili powder, nuts","1. Cook the bulgur until tender. 2. Sauté the chicken with chili powder. 3. Add chopped kale and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",193.8,low-carb,29
Eggs & Bulgur Fusion Bowl 11,"bulgur, eggs, cauliflower, carrots, soy sauce, cheese","1. Cook the bulgur until tender. 2. Sauté the eggs with soy sauce. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",387.6,non-vegetarian,14
Tempeh & Millet Fusion Bowl 12,"millet, tempeh, mushrooms, kale, cumin, honey","1. Cook the millet until tender. 2. Sauté the tempeh with cumin. 3. Add chopped mushrooms and kale, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",403.75,dairy-free,21
Kidney Beans & Barley Fusion Bowl 13,"barley, kidney beans, zucchini, spinach, sriracha, maple syrup","1. Cook the barley until tender. 2. Sauté the kidney beans with sriracha. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",385.9,high-protein,23
Kidney Beans & Oats Fusion Bowl 14,"oats, kidney beans, mushrooms, zucchini, cumin, maple syrup","1. Cook the oats until tender. 2. Sauté the kidney beans with cumin. 3. Add chopped mushrooms and zucchini, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",408.85,gluten-free,19
Tuna & Barley Fusion Bowl 15,"barley, tuna, spinach, kale, curry powder, avocado","1. Cook the barley until tender. 2. Sauté the tuna with curry powder. 3. Add chopped spinach and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",227.8,low-carb,15
Chicken & Barley Fusion Bowl 16,"barley, chicken, mushrooms, carrots, turmeric, lemon","1. Cook the barley until tender. 2. Sauté the chicken with turmeric. 3. Add chopped mushrooms and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",195.5,dairy-free,20
Tofu & Millet Fusion Bowl 17,"millet, tofu, spinach, cauliflower, ginger, honey","1. Cook the millet until tender. 2. Sauté the tofu with ginger. 3. Add chopped spinach and cauliflower, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",418.2,non-vegetarian,24
Eggs & Barley Fusion Bowl 18,"barley, eggs, onions, kale, chili powder, yogurt","1. Cook the barley until tender. 2. Sauté the eggs with chili powder. 3. Add chopped onions and kale, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",385.9,dairy-free,23
Tofu & Quinoa Fusion Bowl 19,"quinoa, tofu, kale, broccoli, sriracha, cheese","1. Cook the quinoa until tender. 2. Sauté the tofu with sriracha. 3. Add chopped kale and broccoli, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",414.8,vegetarian,25
Kidney Beans & Barley Fusion Bowl 20,"barley, kidney beans, zucchini, carrots, ginger, peanut butter","1. Cook the barley until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped zucchini and carrots, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",175.1,high-protein,12
Tofu & Rice Fusion Bowl 21,"rice, tofu, carrots, onions, garlic, lime","1. Cook the rice until tender. 2. Sauté the tofu with garlic. 3. Add chopped carrots and onions, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",411.4,gluten-free,30
Seitan & Couscous Fusion Bowl 22,"couscous, seitan, kale, broccoli, vinegar, peanut butter","1. Cook the couscous until tender. 2. Sauté the seitan with vinegar. 3. Add chopped kale and broccoli, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",260.1,pescatarian,14
